Date,DEW,KA1,OC1,SLP,TMP,VIS,WND
2021-01-01,0.32916666666666666,18.5,7.2,9999.9,0.9187500000000001,4.958333333333333,56.43333333333334
2021-01-02,0.20638297872340425,18.4,7.2,9999.9,0.9978723404255319,4.723404255319149,61.5
2021-01-03,0.42826086956521736,20.5,7.2,9999.9,1.3108695652173912,4.369565217391305,68.87391304347827
2021-01-04,2.9000000000000004,17.4,7.2,9999.9,1.3229166666666667,43.61454166666667,55.78541666666667
2021-01-05,0.789795918367347,19.2,7.2,9999.9,1.3326530612244898,2.9693877551020407,69.93469387755103
2021-01-06,0.6612244897959183,23.8,7.2,9999.9,1.4020408163265308,6.234591836734694,51.775510204081634
2021-01-07,4.638297872340425,23.8,7.2,9999.9,1.3595744680851063,6.404106382978723,41.37659574468085
2021-01-08,0.43617021276595747,21.4,7.2,9999.9,1.2212765957446807,6.531765957446808,47.261702127659575
2021-01-09,0.4673469387755102,22.4,7.2,9999.9,1.2938775510204081,5.5611428571428565,45.06938775510204
2021-01-10,0.31875000000000003,23.7,7.2,9999.9,1.325,5.979083333333333,37.74583333333334
2021-01-11,0.5708333333333333,21.8,7.2,9999.9,1.2249999999999999,4.802083333333333,47.58958333333334
2021-01-12,2.7895833333333333,18.6,7.2,9999.9,3.189583333333333,45.37495833333333,38.68125
2021-01-13,2.75,18.0,7.2,9999.9,3.1875,3.1770833333333335,51.856249999999996
2021-01-14,0.725,18.2,7.2,9999.9,1.1083333333333334,3.5104166666666665,54.831250000000004
2021-01-15,0.7617021276595745,19.8,7.2,9999.9,1.146808510638298,3.404255319148936,48.900000000000006
2021-01-16,0.6787234042553191,19.5,7.2,9999.9,1.2106382978723405,4.574468085106383,41.67446808510638
2021-01-17,0.7021739130434782,19.0,7.2,9999.9,1.2543478260869565,4.717391304347826,62.40217391304348
2021-01-18,0.6857142857142857,20.6,7.2,9999.9,1.2836734693877552,5.418367346938775,58.52448979591837
2021-01-19,0.580392156862745,19.2,7.2,9999.9,1.1686274509803922,5.568627450980392,50.001960784313724
2021-01-20,0.5579999999999999,12.0,7.2,9999.9,1.09,4.97,50.582
2021-01-21,0.43124999999999997,18.5,7.2,9999.9,1.0270833333333333,4.46875,54.456250000000004
2021-01-22,0.5358490566037736,11.25,7.2,9999.9,1.0188679245283019,4.349056603773585,57.1433962264151
2021-01-23,0.622,11.75,7.2,9999.9,1.122,4.36,47.04600000000001
2021-01-24,0.5846153846153845,11.7,7.2,9999.9,1.0846153846153845,4.740384615384615,47.52307692307693
2021-01-25,0.4807692307692308,10.85,7.2,9999.9,1.0326923076923078,4.826923076923077,49.61538461538461
